,Training Score,Test Score
0,1.03,0.7829845126041328
1,0.9064028801597392,0.818077742229641
2,0.8836442181146216,0.8286883919877591
3,0.8740465093651341,0.8344903935024189
4,0.8688344837720313,0.8380331718211464
5,0.8648678337608984,0.8402836447659234
6,0.862179773179074,0.8413561320536004
7,0.8603561486882558,0.842912134279223
8,0.8590677941591186,0.8435187083661768
9,0.8581515867004895,0.8441164873804116
10,0.8573223112657602,0.8444065764053107
11,0.8565809460488552,0.8451098468338974
12,0.8560320032682425,0.8453823804887097
13,0.8554498500081754,0.8456812893154666
14,0.8548891863409513,0.8458307220908489
15,0.85446234000911,0.8459889453022365
16,0.8541722390685551,0.8461735691874933
17,0.8537268340906212,0.8460153374754643
18,0.853285335238485,0.8459889638490905
19,0.8529503040862954,0.846226330350381
20,0.8527989055068621,0.8463054419560749
21,0.8524765726433265,0.8461735769153491
22,0.8520985640895713,0.846147218744687
23,0.8517733005273456,0.8457516158946539
24,0.8514568284982862,0.8456813001344647
25,0.8511559845883632,0.8455845844731922
26,0.8509137464567421,0.8457692145407335
27,0.8506773691595974,0.845988988578229
28,0.8504175490015846,0.8458571165824331
29,0.8501821483623043,0.8457164564689881
30,0.8500141443761808,0.8456637184896679
31,0.8500180519617136,0.8455845952921903
32,0.8496546945162224,0.8453823959444214
33,0.8495111097816904,0.8453208675290953
34,0.849313802806238,0.8452593267492001
35,0.8491301703861337,0.8450747105917994
36,0.8488859787479688,0.8451714084790035
37,0.8487072302659576,0.8449604326053695
38,0.8485275053550598,0.8450747105917994
39,0.8483448498981239,0.8453472256997574
40,0.8482159170255752,0.8450395488477764
41,0.8480410758142518,0.8449868070045287
42,0.8479140962001874,0.8450922937821671
43,0.847821303131915,0.8451802112795783
44,0.8476406017348862,0.8451098800636776
45,0.8475536696632829,0.8450922984188807
46,0.8474296204044419,0.8447582510316689
47,0.8472860354027687,0.8446439784547379
48,0.847216685052253,0.8443450850836928
49,0.847096542692011,0.8443538755196984
