,Training Score,Test Score
0,0.8249083141175348,0.8245918795690947
1,0.8605417349106671,0.8600279377443933
2,0.868935091171783,0.8686342931330274
3,0.8728968569013555,0.8726781224401478
4,0.8833472822386463,0.8825239223505047
5,0.8848329444683326,0.8839128800173105
6,0.8859142238977714,0.884598560300459
7,0.8877036602971966,0.8854601033987108
8,0.892356977933532,0.8896005788164016
9,0.8949375957508507,0.8901192477705138
10,0.8988466154584933,0.8907433880465525
11,0.9036347262389499,0.8894159665229286
12,0.910226923677969,0.8867787105299763
13,0.9179345881417014,0.8838513353734873
14,0.9265057164559418,0.8820140670159657
15,0.9360155150830122,0.8788317568507441
16,0.9458906250532881,0.8756318488122286
17,0.9556104301752213,0.8719572734579063
18,0.9653566065478514,0.8691265451847732
19,0.9746681235069994,0.8649157261866124
20,0.9830976179027606,0.8620674711364584
21,0.990730071515427,0.8600719301092719
22,0.997522506380529,0.856432537364183
23,1.0034124104508555,0.8557029018098641
24,1.008516993050475,0.8530655924947064
25,1.0126858342613758,0.8534084805489868
26,1.016422944047912,0.8517733636265283
27,1.0194645953534716,0.8513777839600625
28,1.0219573042791297,0.8502349708659835
